"Task","WeightAccuracy","WeightFlash","WeightRAM","WeightEnergy","UBase","UPruned","UQuantized","Winner"
"SOC","0","0","0","1","1","0.57129403707033088","4.9864589130031529","Pruned"
"SOC","0","0","0.050000000000000003","0.94999999999999996","1","0.58360154617016113","4.7772982391582692","Pruned"
"SOC","0","0","0.10000000000000001","0.90000000000000002","1","0.59590905526999149","4.5681375653133856","Pruned"
"SOC","0","0","0.14999999999999999","0.84999999999999998","1","0.60821656436982174","4.3589768914685019","Pruned"
"SOC","0","0","0.20000000000000001","0.80000000000000004","1","0.62052407346965222","4.1498162176236182","Pruned"
"SOC","0","0","0.25","0.75","1","0.63283158256948235","3.9406555437787341","Pruned"
"SOC","0","0","0.29999999999999999","0.69999999999999996","1","0.64513909166931271","3.7314948699338495","Pruned"
"SOC","0","0","0.34999999999999998","0.65000000000000002","1","0.65744660076914307","3.5223341960889663","Pruned"
"SOC","0","0","0.40000000000000002","0.59999999999999998","1","0.66975410986897344","3.3131735222440821","Pruned"
"SOC","0","0","0.45000000000000001","0.55000000000000004","1","0.6820616189688038","3.1040128483991989","Pruned"
"SOC","0","0","0.5","0.5","1","0.69436912806863405","2.8948521745543148","Pruned"
"SOC","0","0","0.55000000000000004","0.45000000000000001","1","0.70667663716846441","2.6856915007094311","Pruned"
"SOC","0","0","0.59999999999999998","0.40000000000000002","1","0.71898414626829465","2.4765308268645474","Pruned"
"SOC","0","0","0.65000000000000002","0.34999999999999998","1","0.73129165536812502","2.2673701530196633","Pruned"
"SOC","0","0","0.69999999999999996","0.29999999999999999","1","0.74359916446795526","2.0582094791747796","Pruned"
"SOC","0","0","0.75","0.25","1","0.75590667356778551","1.8490488053298957","Pruned"
"SOC","0","0","0.80000000000000004","0.20000000000000001","1","0.76821418266761587","1.6398881314850122","Pruned"
"SOC","0","0","0.84999999999999998","0.14999999999999999","1","0.78052169176744624","1.4307274576401281","Pruned"
"SOC","0","0","0.90000000000000002","0.10000000000000001","1","0.7928292008672766","1.2215667837952444","Pruned"
"SOC","0","0","0.94999999999999996","0.050000000000000003","1","0.80513670996710685","1.0124061099503605","Pruned"
